Context,English,Chinese_Traditional,Chinese
"lore_intro_OLD","To prove that you are worthy of entering Valhalla you have been sent to Valheim, the 10th Norse world. Only by defeating the mighty beasts of these lands will you win the favor of the gods.","要證明你有資格進入英靈殿，特派你前往瓦爾海姆——第10大諾斯世界。 只有打敗這片土地上的強大野獸，你才能得到眾神的垂青。","要证明你有资格进入英灵殿，特派你前往瓦尔海姆——第10大诺斯世界。 只有打败这片土地上的强大野兽，你才能得到众神的垂青。 "
"lore_meadows_boartaming","This land is hard and wild but we who are brought here are harder still. Take comfort, traveller, in the gifts before you, the good wood and stone, the fruits and flowers of the forest.\n\nLook also to the wild boar who roam these lands. They fear fire and the hand of man but they can be taught to obey it. Go quietly to them and let them eat of your stock. Roots of the ground are their pleasure.","這片土地艱難而崎嶇，而我們比這片土地更加頑強。 大自然的饋贈照顧好你自己，旅行者，例如良好的石頭和木材，還有森林裡的果實和鮮花。 \n\n尋找遊蕩在各處的鬢豬。 它們怕火和拳頭但是你也可以用此馴服它們。 \n悄悄的接近它們並投餵你吃剩的食物。 它們最喜歡的是根莖類蔬果。","这片土地艰难而崎岖，而我们比这片土地更加顽强。 大自然的馈赠照顾好你自己，旅行者，例如良好的石头和木材，还有森林里的果实和鲜花。 \n\n寻找游荡在各处的鬓猪。 它们怕火和拳头但是你也可以用此驯服它们。 \n悄悄的接近它们并投喂你吃剩的食物。 它们最喜欢的是根茎类蔬果。 "
"lore_meadows_boartaming_label","Lore: Boars","背景：鬢猪","背景：鬓猪"
"lore_meadows_random01","Where the grass grows underfoot\n\nAnd the sky is blue overhead\n\nThere will always be a hearth and a home\n","當你看到青青草原\n\n天空湛藍\n\n那就是有火有家的好地方","当你看到青青草原\n\n天空湛蓝\n\n那就是有火有家的好地方"
"lore_meadows_random02","Long ages past, when the Allfather Odin united the worlds, he threw down the Vanir, the giants and those creatures older than any others. The greatest of them could not be killed but were instead Forsaken, exiled here to Valheim for eternity.\n\nWhen they tread the earth, the lesser creatures jump like crumbs on a drumskin. You will know them when you see them.\n","很久很久以前，當奧丁還統治者整個世界，他撒下了華納神族，他們中有巨人和最古老的生命。 那些最古老的生命不能被殺死，只能被遺棄並變成被遺忘者，他們被永遠地放逐到了瓦爾海姆。 \n\n\n當它們踏上這片土地時，弱小的生物們會像鼓皮上的碎屑一樣震動。 你看到它們的時候你就知道了。","很久很久以前，当奥丁还统治者整个世界，他撒下了华纳神族，他们中有巨人和最古老的生命。 那些最古老的生命不能被杀死，只能被遗弃并变成被遗忘者，他们被永远地放逐到了英灵神殿。 \n\n\n当它们踏上这片土地时，弱小的生物们会像鼓皮上的碎屑一样震动。 你看到它们的时候你就知道了。 "
"lore_meadows_random03","Give thanks to Frey for the rain and sun\n\nFor the shoots that break the earth's skin\n\nAnd the fruits of the vine\n\nGive thanks to Odin for the flesh and bone\n\nThe smoke from the cooking fire, the warm pelt\n\nAnd the strength of your arm\n","感恩弗雷帶來的雨滴和陽光\n\n衝破地面的嫩芽\n\n和藤蔓上的果實\n\n感恩奧丁賜予的血肉之軀\n\n炊煙裊裊，暖暖皮袍\n\n還有你強壯的臂膀","感恩弗雷带来的雨滴和阳光\n\n冲破地面的嫩芽\n\n和藤蔓上的果实\n\n感恩奥丁赐予的血肉之躯\n\n炊烟袅袅，暖暖皮袍\n\n还有你强壮的臂膀"
"lore_meadows_random04","Hold, traveller, and bear witness to my warning. We are many who have come before you, carried here by Odin's will to do his work. The path ahead is hard and the dangers great. If you hold your life dear, keep to these meadows and make your dwelling away from the trees. Fear the Horned One and spare his kin.\n","等等旅行者，請耐心聽完我的提醒。 我們是在你之前來到這片土地上的，奧丁把我們帶到了這裡完成他的使命，你未來的道路艱難並危機重重。 如果你想遠離危險，請留在青青草原並在遠離樹林的地方修建居所。 \n\n要對有犄角的保持敬畏並放過它的血脈。","等等旅行者，请耐心听完我的提醒。 我们是在你之前来到这片土地上的，奥丁把我们带到了这里完成他的使命，你未来的道路艰难并危机重重。 如果你想远离危险，请留在青青草原并在远离树林的地方修建居所。 \n\n要对有犄角的保持敬畏并放过它的血脉。 "
"lore_meadows_random05","Heed these words of Ulf, a poor settler in a strange land. You will find here good stone and wood, all you need to build a house. You will need to craft a roof to keep out the rain. Then you will need walls to stop the roof from falling down. Finally, you must have a door or it will be much harder to go in and out.\n\nThese things Ulf has learned for himself. Now he writes them on this stone to help others. Pray to Odin for his soul.","聽從烏爾夫的建議，一個在這片土地上生存過的定居者。 你會找到良好的石頭和木材，這是你修建一間房子的所有必需品。 你需要建造屋頂來遮風擋雨。 然後你需要建造木牆來支撐屋頂。 最後，你需要一扇門來防止別人輕易進出你的房子。 \n\n\n這是烏爾夫自己領悟到的，他把這些訊息刻在了石碑上以幫助他人。 為奧丁的靈魂祈禱。","听从乌尔夫的建议，一个在这片土地上生存过的定居者。 你会找到良好的石头和木材，这是你修建一间房子的所有必需品。 你需要建造屋顶来遮风挡雨。 然后你需要建造木墙来支撑屋顶。 最后，你需要一扇门来放置别人轻易进出你的房子。 \n\n\n这是乌尔夫自己领悟到的，他把这些信息刻在了石碑上以帮助他人。 为奥丁的灵魂祈祷。 "
"lore_meadows_random06","I was Astrid, a shieldmaiden of the forest. I know nothing of my life before I came here but my arm remembers the sword and my eyes see the course of the arrow. Now the raven guides me and I fight the great beasts in Odin's name.","我曾是阿斯特麗德，一名護林女。 我不記得我來這裡前的生活，但是我的手臂記得怎麼用劍，我的眼睛能看見箭的軌跡。 現在那隻烏鴉是我的嚮導，而我，為了奧丁而戰。","我曾是阿斯特丽德，一名护林女。 我不记得我来这里前的生活，但是我的手臂记得怎么用剑，我的眼睛能看见箭的轨迹。 现在那只乌鸦是我的向导，而我，为了奥丁而战。 "
"lore_mountains_fenring","Watch for him in moonlight\n\nHaunter of the night.\n\nSoft of foot\n\nSharp of tooth\n\nSlow to stalk\n\nQuick to bite.","在月光中眺望他\n\n暗夜中的徘徊者\n\n無聲的腳步\n\n尖利的牙齒\n\n慢慢靠近\n\n瞬間咬殺","在月光中眺望他\n\n暗夜中的徘徊者\n\n无声的脚步\n\n尖利的牙齿\n\n慢慢靠近\n\n瞬间咬杀"
"lore_mountains_fenring_label","Lore: Fenring","背景：芬林","背景：芬里"
"lore_mountains_random01","Few of us found our way to these mountains. We were twenty and now we are two. Agda is dying, a Draugr arrow lies near her heart. I will bid her farewell beside this stone and give her ashes to the wind. Then I will turn my face to the highest peak and seek out the Winged One. May Odin give me death or glory.","我們幾個找到了去凜冽雪山的路。 我們開始有二十人，現在剩下兩人。 阿格達快要死去了，她的心被一枝屍鬼箭射中。 我將會在這塊石碑旁給她舉行一場告別儀式並把她的骨灰撒進風中。 然後我會將我的臉轉向最高的地方並找到那對翅膀。 願奧丁賜予我榮耀或是死亡。","我们几个找到了去凛冽雪山的路。 我们开始有二十人，现在剩下两人。 阿格达快要死去了，她的心被一只尸鬼箭射中。 我将会在这块石碑旁给她举行一场告别仪式并把她的骨灰撒进风中。 然后我会将我的脸转向最高的地方并找到那对翅膀。 愿奥丁赐予我荣耀或是死亡。 "
"lore_mountains_random02","This marks the spot where the great drake was first seen by me, Ulf, in the third summer of my life in Valheim. She stopped here to leave a pile of dung holding the bones of deer, boar and the skull of a greydwarf. I will never come near this place again.","這個標記是我，烏爾夫第一次看見霜龍的地方，那時是我在瓦爾海姆的第三個夏天。 她在這裡留下了一堆沾著鹿骨，鬢豬骨和灰矮人頭骨的糞便。 我再也不會到這附近來了。","这个标记是我，乌尔夫第一次看见霜龙的地方，那时是我在英灵神殿的第三个夏天。 她在这里留下了一堆沾着鹿骨，鬓猪骨和灰矮人头骨的粪便。 我再也不会到这附近来了。 "
"lore_mountains_random03","Halt and listen, traveller. On the highest peaks of Valheim, the air is thin and fragile. From here you can sometimes catch sounds from other places, the ring of battle on Midgard, the roar of a feast in Valhalla or the shriek of a Valkyrie as she crosses the space between the worlds.","請停下你的腳步並傾聽，旅行者。 在瓦爾海姆最高的山峰，空氣凜冽而稀薄。 在這裡你有可能可以聽到來自其他地方的聲音，譬如人界戰爭的號角，英靈殿宴會的喧譁或女武神們穿梭在各個神界的哀鳴。","请停下你的脚步并倾听，旅行者。 在英灵神殿最高的山峰，空气凛冽而稀薄。 在这里你有可能可以听到来自其他地方的声音，譬如人界战争的号角，瓦尔哈拉宴会的喧哗或女武神们穿梭在各个神界的哀鸣。 "
"lore_mountains_random04","Where this stands I once saw the great drake flying above me and I hid in a bush until she passed. Ulf the Brave carved this stone.","我曾在這裡看到了正在盤旋的霜龍，我躲進了草叢直到她飛離了這裡。 無畏者烏爾夫雕刻了這塊石碑。","我曾在这里看到了正在盘旋的霜龙，我躲进了草丛直到她飞离了这里。 无畏者乌尔夫雕刻了这块石碑。 "
"lore_mountains_random05","Let those who read me know not to tarry on these slopes, far from their hearth and the safety of the greenwood. The beasts of the mountains are fell and fierce, hungry for meat, and the worst of these beasts is the cold wind itself. Wear thick furs, build strong fires and be sure not to disturb the eggs of the great drake if you value your life.","讓我告訴你，不要在這裡停留，你已經離開安全範圍很遠很遠了。 山裡面的野獸兇殘而狂暴，對新鮮的肉非常飢渴，比這些野獸更糟糕的是凜冽的寒風。 穿上厚實的護甲，升起篝火併保證不要打擾到霜龍的蛋，如果你還想活命的話。","让我告诉你，不要在这里停留，你已经离开安全范围很远很远了。 山里面的野兽凶残而狂暴，对新鲜的肉非常饥渴，比这些野兽更糟糕的是凛冽的寒风。 穿上厚实的护甲，升起篝火并保证不要打扰到霜龙的蛋，如果你还想活命的话。 "
"lore_mountains_random06","Great cities do not rise of themselves\n\nHarden your heart, settler in a strange land\n\nBuild from the ground upwards","壯麗的城市從來不會平地而起\n\n心如磐石，隨遇而安\n\n從零開始","壮丽的城市从来不会平地而起\n\n心如磐石，随遇而安\n\n从零开始"
"lore_mountains_random07","This stone was placed by me, Astrid, in my seventh year in Valheim. At this spot, the Allfather spoke to me. I awoke from a deep sleep to find his words scattered around me on the ground, frozen to pebbles by the deep cold. When I warmed them in my hands they thawed and spoke his message to me, one word after another.\n\nSlay the Forsaken. Chain their heads. I will come.","這塊石碑是被我來瓦爾海姆的第七年放在這裡的，我是阿斯特麗德。 諸神之父曾在這裡和我對話。 我從長眠中醒來，發現留給我的話散落在我周圍的地面上，已經被凍得像鵝卵石。 當我用的雙手捧起它們，它們開始融化並一字一句地對我說出了奧丁留給我的話。 \n\n\n擊殺被遺忘者們，用鎖鏈綁起他們的頭顱，我便會出現。","这块石碑是被我来英灵神殿的第七年放在这里的，我是阿斯特丽德。 诸神之父曾在这里和我对话。 我从长眠中醒来，发现留给我的话散落在我周围的地面上，已经被冻得像鹅卵石。 当我用的双手捧起它们，它们开始融化并一字一句地对我说出了奥丁留给我的话。 \n\n\n击杀被遗忘者们，用锁链绑起他们的头颅，我便会出现。 "
"lore_plains_random01","Where no rain falls\n\nAnd no crops will grow\n\nStill the ground can give up treasures.","從不下雨\n\n寸草不生\n\n但依舊藏著數不清的寶藏。","从不下雨\n\n寸草不生\n\n但依旧藏着数不清的宝藏。 "
"lore_plains_random02","This place was too hot for Ulf, a man used to brushing snow from his beard. He carved this stone and moved on.","這裡對於習慣了頭頂雪花的烏爾夫來說太熱了。 他雕刻了這塊石碑後就離開了。","这里对于习惯了头顶雪花的乌尔夫来说太热了。 他雕刻了这块石碑后就离开了。 "
"lore_plains_random03","Still your mind, traveller. Odin speaks to those who listen. Here in this barren land, one of the Forsaken Ones dwells. He is an ancient sorcerer twisted by bitterness, dragging what remains of his broken body across the sands. Surely Odin will smile upon the warrior who can vanquish this abhorrence.","平靜下來，旅行者。 奧丁會跟認真傾聽的人講話。 在這片荒蕪的土地上，居住者其中一位被遺忘者。 他是一位被痛苦扭曲的古老巫師，在砂石上拖著他殘破的身軀。 如果奧丁知道是誰戰勝了這令人憎恨的邪靈，一定會對他微笑。","平静下来，旅行者。 奥丁会跟认真倾听的人讲话。 在这片荒芜的土地上，居住者其中一位被遗忘者。 他是一位被痛苦扭曲的古老巫师，在砂石上拖着他残破的身躯。 如果奥丁知道是谁战胜了这令人憎恨的邪灵，一定会对他微笑。 "
"lore_plains_random04","Near this spot I saw a star come unfastened from the great curtain of night and fall into the sand. It glowed red when I approached but by morning was cool. Blessed sword-flesh, furnace-food, a gift of iron from the Gods!","在這個地方附近，我看到一顆星星從靜謐的夜幕中劃落，墜入了沙裡。 當我靠近是它發出了紅色的光芒但是到了早上它冷卻了下來。 寶劍的魂，熔爐之食，天賜金屬。","在这个地方附近，我看到一颗星星从静谧的夜幕中划落，坠入了沙里。 当我靠近是它发出了红色的光芒但是到了早上它冷却了下来。 宝剑的魂，熔炉之食，天赐金属。 "
"lore_plains_random05","Good friend, lay your hand on this stone and remember Harald, who carved it. In Midgard I lost my life on the battlefield but in Valheim it was restored to me. Yet still my battles continued.\n\nIn the green meadows I fought Eikthyr the Great Stag and lost an eye to his horns.\n\nIn the deep woods I gave my shield hand to the Old Man of the Forest, and took a draugr arrow below my ribs that my fingers can still feel.\n\nOn the mountainside I fought the Mother Drake and she bit off my leg at the knee so that I must walk always with a staff.\n\nNow my last battle must be at hand. When I sleep this time, where will I wake?","摯友，把你的手放在這塊石碑上，記得我，哈拉爾德，我是刻這塊石碑的人。 我在人界的戰爭中犧牲了但是在瓦爾海姆我得到了重生。 但我的戰爭卻一刻也未停止。 \n\n我在青青草原與赤血靈鹿戰鬥過，在這場戰鬥中他用角戳瞎了我的一隻眼睛。 \n\n我在密林深處被森林裡的長者截掉了拿盾的手臂，然後被一支屍鬼箭射中了胸骨頭，我到現在還能感到當時的疼痛。 \n\n我在雪山頂端挑戰過霜龍之母，她咬掉了我的一條小腿，而我現在必須杵著拐杖走路。 \n\n現在我的最後一戰即將到來，當我睡去以後，我會在何處醒來？","挚友，把你的手放在这块石碑上，记得我，哈拉尔德，我是刻这块石碑的人。 我在人界的战争中牺牲了但是在英灵神殿我得到了重生。 但我的战争却一刻也未停止。 \n\n我在青青草原与赤血灵鹿战斗过，在这场战斗中他用角戳瞎了我的一只眼睛。 \n\n我在密林深处被森林里的长者截掉了拿盾的手臂，然后被一支尸鬼箭射中了胸骨头，我到现在还能感到当时的疼痛。 \n\n我在雪山顶端挑战过霜龙之母，她咬掉了我的一条小腿，而我现在必须杵着拐杖走路。 \n\n现在我的最后一战即将到来，当我睡去以后，我会在何处醒来？"
"lore_plains_random06","In my dream, Odin came to me as an old man leaning on a stick, a wide-brimmed traveller’s hat on his head. He told me to trust the ravens who carry his words under their tongues and to carve this stone that others might know his will. We must kill the Forsaken to find our places in his hall at Valhalla.","在我的夢裡，奧丁垂垂老矣，他靠著一根拐杖，帶著一頂寬簷旅帽。 他告訴我要相信幫他傳遞訊息的烏鴉，並刻下石碑讓世人他的意志。 我們必須擊殺被遺忘者才能獲取在英靈殿的一席之地。","在我的梦里，奥丁垂垂老矣，他靠着一根拐杖，带着一顶宽檐旅帽。 他告诉我要相信帮他传递信息的乌鸦，并刻下石碑让世人他的意志。 我们必须击杀被遗忘者才能获取在瓦尔哈拉的一席之地。 "
"lore_plains_random07","Beneath the ground are the halls of men and women long since gone, ancient tribes who lived in Valheim even before the Allfather turned his eye upon this place. Delve deep to find their treasures but beware, some amongst them do not yet know they are dead.","很久很久以前，在奧丁都還不曾注意到瓦爾海姆時，曾經在這裡也有著大量的居民，但他們已與世長辭。 去地下探索寶藏吧，但你要小心，因為它們很多還不知道自己已經死去，","很久很久以前，在奥丁都还不曾注意到英灵神殿时，曾经在这里也有着大量的居民，但他们已与世长辞。 去地下探索宝藏吧，但你要小心，因为它们很多还不知道自己已经死去，"
"lore_surtlings","Let you who read me know of the Surtlings, that you might not fall prey to their wickedness.\n\nLong ago the great demon Surtr was brought down and destroyed by the First Men, giant warriors of whom you are but a dwindling echo. They smote long upon the body of this Surtr with swords and hammers so that his fiery substance was shattered into many small pieces.\n\nHe who was made of the fire was fire in every part of him. You could not say ‘Here is the brain of Surtr’ or ‘Here is Surtr’s liver’ because every part was Surtr. So all the fragments of him were Surtr still, only much weaker in power and in thought and in memory, with no way to become whole once again.\n\nNow we call these fragments Surtlings and when they are found they should be stamped out like the last embers of a fire or doused with water to choke off their flames at the root. They will throw fire from afar and joy in causing terror and destruction. Even in his scattered dotage, the demon seeks revenge on the children of the First Men.","今將焰靈之事說與你聽，但你不可屈服於其邪惡。 \n\n古時惡魔薩特焰降臨，幸有先民將其降伏，此乃你輩之英雄，如今已默默無聞。 其以劍錘攻薩特之軀，烈火濺散，碎為小塊。 \n\n火焰之軀，寸寸皮肉皆為火。 或曰“此為薩特之腦”，又或“此為薩特之肝”，只因無一處不是薩特。 故其碎片仍是薩特，然其所思所想已不勝先前，亦無法再聚為一體。 \n\n如今碎片稱為薩特靈，即便尋得，也不過火之餘燼，又或浸沒水中，其火根已滅。 其可遠處投火，最喜散布恐懼與毀滅。 縱然破碎泯滅，惡魔仍追尋先民子嗣，伺機復仇。","今将焰灵之事说与你听，但你不可屈服于其邪恶。 \n\n古时恶魔萨特焰降临，幸有先民将其降伏，此乃你辈之英雄，如今已默默无闻。 其以剑锤攻萨特之躯，烈火溅散，碎为小块。 \n\n火焰之躯，寸寸皮肉皆为火。 或曰“此为萨特之脑”，又或“此为萨特之肝”，只因无一处不是萨特。 故其碎片仍是萨特，然其所思所想已不胜先前，亦无法再聚为一体。 \n\n如今碎片称为萨特灵，即便寻得，也不过火之余烬，又或浸没水中，其火根已灭。 其可远处投火，最喜散布恐惧与毁灭。 纵然破碎泯灭，恶魔仍追寻先民子嗣，伺机复仇。 "
"lore_surtlings_label","Lore: Surtlings","背景：焰靈","背景：焰灵"
"lore_swamp_random01","Heed the words of poor Ulf and do not build your house beside the murky waters. Bad dreams and a soggy bed are all you will find. I leave this stone as a warning and go now to make my dwelling on higher ground.","記住烏爾夫的警告，不要把你的房子建造在陰暗的水源附近，這樣你只會得到噩夢和潮濕的床鋪。 我會把這塊石碑留在這裡並去高地建造我的住所。","记住乌尔夫的警告，不要把你的房子建造在阴暗的水源附近，这样你只会得到噩梦和潮湿的床铺。 我会把这块石碑留在这里并去高地建造我的住所。 "
"lore_swamp_random02","Linger not, traveller. The air is pestilent and the water poison. The Draugr walk here and the thing I will not name stirs below the surface, a bitter mass of bone and sin. Tread carefully and quickly until you feel the sun on your face once more.","不要在此逗留，旅行者。 這裡的空氣裡散發著瘟疫，這裡的水裡流淌著蠱毒。 屍鬼在此橫行，還有我不會告訴你名字的東西在地下浮動，一堆痛苦罪惡的枯骨。 快速跑過這裡，讓陽光在此撒到你的臉上。","不要在此逗留，旅行者。 这里的空气里散发着瘟疫，这里的水里流淌着蛊毒。 尸鬼在此横行，还有我不会告诉你名字的东西在地下浮动，一堆痛苦罪恶的枯骨。 快速跑过这里，让阳光在此撒到你的脸上。 "
"lore_swamp_random03","In this gloomy region you may yet find something which shines. War-flesh, warrior's gold, bread of the forge... Bright iron is here for those who will take it!","在這片晦暗的區域，你也許會找到一些發光的東西。 戰爭後散落的武器，戰士們的金子，熔爐的食物...閃光的鐵在這等著來尋寶的勇士。","在这片晦暗的区域，你也许会找到一些发光的东西。 战争后散落的武器，战士们的金子，熔炉的食物...闪光的铁在这等着来寻宝的勇士。 "
"lore_swamp_random04","You who pass, remember me. I am a man whose home was once in the mountains of Midgard, carried here when I thought to earn my rest, to find a life after life in Valheim. There were seven of us before the Greydwarves came. Now Odin will not hear me and the seas refuse me. Soon this stone will be all that remains.","匆匆行人，定勿忘我。 我曾在人界以雪山為家，以為會長眠於此，在瓦爾海姆尋到的來世。 曾是一行七位在灰矮人之前來到了這裡。 現在奧丁再也不會理睬我而海洋也將我拒之門外。 很快這塊石碑便會是孤唯一的遺骸。","匆匆行人，定勿忘我。 我曾在人界以雪山为家，以为会长眠于此，在英灵神殿寻到的来世。 曾是一行七位在灰矮人之前来到了这里。 现在奥丁再也不会理睬我而海洋也将我拒之门外。 很快这块石碑便会是孤唯一的遗骸。 "
"lore_swamp_random05","Beware the surtlings, embers of a great fire long ago stamped to ashes. They are drawn to the swamp in numbers but their lights can be seen from afar. Keep to the high ground.","小心焰靈，舊時一場大火的餘燼。 他們中的大多數被沼澤吸引，他們發出的光芒很遠就能看到。 站在高處。","小心焰灵，旧时一场大火的余烬。 他们中的大多数被沼泽吸引，他们发出的光芒很远就能看到。 站在高处。 "
"lore_swamp_random06","In centuries past, the Draugr walked these lands just as you do now. Pity them, caught between the living and the dead in a shadow of the world they once knew. To destroy them is a mercy.","幾個世紀以前，屍鬼也和你我一樣在這片土地上行走。 可憐啊，在他們曾經熟悉的世界裡被困在了生與死之間，只能在黑暗裡苟活。 殺掉他們是對他們最後的仁慈。","几个世纪以前，尸鬼也和你我一样在这片土地上行走。 可怜啊，在他们曾经熟悉的世界里被困在了生与死之间，只能在黑暗里苟活。 杀掉他们是对他们最后的仁慈。 "
"lore_swamp_random07","Below the mist and murk\n\nBone speaks to bone\n\nRemembering flesh.","在迷霧和黑暗之下\n\n枯骨在喃喃低語\n\n懷念曾經的血肉之軀","在迷雾和黑暗之下\n\n枯骨在喃喃低语\n\n怀念曾经的血肉之躯"
"lore_wraith","Rest, wanderer, and consider the wraiths.\n\nWe know that when a warrior dies, their soul cracks open and seeps into the earth around them, thereby to nourish new life and strengthen those who follow after.\n\nYet if a warrior should die with no great deeds to their name, their soul will be too thin and airy. It will flow upwards instead, like smoke from a hearth. These wisps of souls sometimes catch in the branches of trees long enough to form wraiths, wretched shadows with nothing but bitterness and jealousy to drive them. Blown about the land in despair, they remain only to prey on those who are still living.\n\nShould you see one, kill it and count it a mercy.","流浪者，於此稍歇，再說鬼魅。 \n\n你我當知，戰士身死，靈魂應破碎滲入四周地底，以此滋養新生，激勵後來之人。 \n\n但若戰士雖死，而無功績勇名，其靈魂則稀薄如空氣，冉冉直上，飄如爐中之煙。 此等靈魂時而掛樹，久而久之，形如幽靈魅影，空洞悲切，徒留苦痛妒忌。 其於絕望中飄動，亦只能糾纏生者。 \n\n你若見之，應殺之，是為慈悲。","流浪者，于此稍歇，再说鬼魅。 \n\n你我当知，战士身死，灵魂应破碎渗入四周地底，以此滋养新生，激励后来之人。 \n\n但若战士虽死，而无功绩勇名，其灵魂则稀薄如空气，冉冉直上，飘如炉中之烟。 此等灵魂时而挂树，久而久之，形如幽灵魅影，空洞悲切，徒留苦痛妒忌。 其于绝望中飘动，亦只能纠缠生者。 \n\n你若见之，应杀之，是为慈悲。 "
"lore_wraith_label","Lore: Wraiths","背景：鬼魅","背景：鬼魅"
"menu_back","Back","返回","返回"
"menu_beard","Beard","鬍鬚","胡须"
"menu_blondness","Blondness","髮色亮度","金发程度"
"menu_cancel","Cancel","取消","取消"
"menu_characterexist","A character with that name already exists.","該角色名字已存在","该昵称已存在"
"menu_close","Close","關閉","关闭"
"menu_closemenu","Close Menu","關閉選單","关闭菜单"
"menu_community","Community","社群","社区"
"menu_communityserver","Community Server","社群伺服器","社区服务器"
"menu_connect","Connect","連接","连接"
"menu_connecting","Connecting","連接中","Connecting"
"menu_credits","Credits","致謝名單","制作组"
"menu_done","Done","完成","完成"
"menu_entername","Enter Name","輸入名字","输入昵称"
"menu_enterpassword","Enter Password","輸入密碼","输入密码"
"menu_enterseed","Enter Seed","輸入種子","输入种子"
"menu_exit","Quit","結束遊戲","退出游戏"
"menu_exitconfirm","Quit the Game?","確定結束遊戲？","确认退出游戏？"
"menu_feedback","Do you have any bugs, cool ideas or general feedback you want to give us? Send us a message using this fancy mail button.","如果您對我們有什麼意見或建議，請按此鍵回饋哦！","如果您对我们有什么意见或建议，请按此键反馈哦！"
"menu_female","Female","女","女"
"menu_friends","Friends","好友","好友"
"menu_hair","Hair","頭髮","头发"
"menu_hairtone","Hair Tone","髮色","发色"
"menu_joingame","Join Game","加入遊戲","加入游戏"
"menu_joinip","Join IP","直接 IP 連線","Join IP"
"menu_loading","Loading...","載入中...","载入中..."
"menu_logout","Logout","登出","返回主菜单"
"menu_logoutconfirm","Logout?","確定要登出嗎？","确认返回？"
"menu_male","Male","男","男"
"menu_name","Name","名字","昵称"
"menu_ndaaccept","Accept","接受","接受"
"menu_ndadecline","Decline","拒絕","拒绝"
"menu_new","New","新建","新建角色"
"menu_newcharacter","New Character","新角色","新角色"
"menu_newworld","New World","新的世界","新建世界"
"menu_no","No","取消","取消"
"menu_ok","OK","確認","确认"
"menu_password","Password","密碼","密码"
"menu_passwordinvalid","Invalid password","密碼無效","密码无效"
"menu_passwordshort","The password is too short","密碼太短","密码太短"
"menu_public","Public","公開","公开"
"menu_remove","Remove","刪除","删除"
"menu_removecharacter","Remove Character?","刪除角色？","删除角色？"
"menu_removeworld","Remove World?","刪除世界？","删除世界？"
"menu_resettutorial","Reset Tutorial","重設教學","重置教程"
"menu_seed","Seed","種子","种子"
"menu_selectcharacter","Select Character","選擇角色","选择角色"
"menu_selectserver","Select Server","選擇伺服器","选择服务器"
"menu_selectworld","Select World","選擇世界","选择世界"
"menu_server_info","Beware that joining any online server will put your game character at risk. It might be a good idea to create a separate character when playing online to reduce the risk of losing precious possessions. Also be aware that there is always a risk of encountering cheaters and griefers when playing online. Good luck!","加入線上伺服器時請謹慎， 因為這有可能會讓你的角色遇到很大的風險。 \n\n加入線上伺服器最好是創建一個單獨的角色， 這樣可以避免遺失昂貴的物品。 \n\n還需要注意的是， 加入線上伺服器還有 可能會遇到作弊的人和喜歡騷擾別人的人。 \n\n祝你好運！","加入线上服务器时请谨慎，因为这有可能会让你的角色遇到很大的风险。 加入线上服务器最好是创建一个单独的角色，这样可以避免丢失昂贵的物品。 还需要注意的是，加入线上服务器还有可能会遇到作弊的人和喜欢骚扰别人的人。 祝你好运！"
"menu_server_warning","Warning","警告","警告"
"menu_serverpassword","Server Password","伺服器密碼","服务器密码"
"menu_settings","Settings","設定","设置"
"menu_sex","Sex","性別","性别"
"menu_skintone","Skin Tone","膚色","肤色"
"menu_start","Start","開始","开始"
"menu_startgame","Start Game","開始遊戲","开始游戏"
"menu_startserver","Start Server","啟動伺服器","启动服务器"
"menu_worldnametip","5 characters minimum","至少五個字元","至少5个字母"
"menu_yes","Yes","確認","确认"
"msg_added","Added","已添加","已添加"
"msg_bedenemiesnearby","There are enemies nearby","附近有敵人","附近有敌人"
"msg_bedneedroof","Bed needs a roof","床鋪需要屋頂","床铺需要屋顶"
"msg_bednofire","Bed needs a nearby fire","床鋪需要靠近營火","床铺需要靠近营火"
"msg_bedtooexposed","Bed is too exposed","床鋪過於暴露","床铺过于暴露"
"msg_bedwet","You are wet","你渾身溼答答的","你湿了"
"msg_biome_found","Discovered $1 ","發現了$1","发现了$1"
"msg_blocked","Blocked","此區域被擋住了","被挡住"
"msg_blocked","Blocked","被擋住","Blocked"
"msg_broke","$1 broke","$1 已損壞","$1 已损坏"
"msg_broke_OLD","broke","已破壞","已破坏"
"msg_cantaddmore","You can't add more $1","你無法再添加$1","你无法再添加$1"
"msg_cantconsume","You can't consume that right now","你現在不能消耗此物品","你现在不能消耗此物品"
"msg_cantdrop","You can't drop that","你無法丟棄該物品","你无法丢弃该物品"
"msg_cantoffer","Your offering is not answered","你的獻祭沒有得到回應","你的献祭没有得到回应"
"msg_cantopen","You can't open it","你無法打開它","你无法打开它"
"msg_cantpickup","You can't pick that up","你無法撿起該物品","你无法捡起该物品"
"msg_cantremovenow","That can't be removed at this time","目前無法移除","目前无法移除"
"msg_cantsleep","You can't sleep at this time","還無法入睡","你此刻不能睡觉"
"msg_cantuseon","You can't use $1 on $2","無法在$2 上使用$1","你无法在$2上使用$1"
"msg_dlcrequired","DLC required","需要DLC","需要DLC"
"msg_doesnotneedrepair","does not need repairs","不需要修復","不需要修复"
"msg_donthaveany","You don't have any","你身上沒有","你没有"
"msg_door_needkey","Need key: $1","需要鑰匙：$1","需要钥匙：$1"
